TYPE,NAME,LOCATION,CONDITION,DESCRIPTION,TAGS
atk,Advanced Splash,R09: Beach,0.14%,Provides a 20% chance to damage enemies close to your primary target by a portion of your damage dealt to the primary target itself.,CHANCE AREA DAMAGE
atk,Air Attack,R02: Desert,5%,Provides the tower some basic Air damage on every attack.,DAMAGE
atk,Air Burst,R02: Desert,2%,Provides the tower a 20% chance to deal additional Air damage on an attack.,CHANCE DAMAGE
atk,Air Crit,R02: Desert,1%,Provides a chance to multiply your projectile's Air damage.,CHANCE DAMAGE
atk,Air Focus,R15: Chaos,1%,Increases Air damage dealt by the tower for 45 seconds.,ACTIVE INSTANT DAMAGE BUFF
atk,Air Impetus,R10: Ocean,1%,Increases the total Air damage of the tower based on the distance between the target and the tower at the moment the projectile arrives.,DAMAGE
atk,Air Slice,Experiment: Air,5.07M Pa,Provides a chance to create a gush of wind around the primary target that damages all nearby units and slows their attackspeed.,CHANCE AREA DAMAGE SLOW DEBUFF
atk,Air Splash,R06: High Mountain,2%,Provides a 20% chance to damage all enemies in a 8M radius around the primary target by a fixed amount. Damage type is Air.,AREA DAMAGE
atk,Air Subsistence,R12: Dark Realm,1%,Increases your Air damage based on your current energy percentage. Full bonus is applied at 100% energy. Drains 200 energy whenever the bonus is applied.,DAMAGE
atk,Air Taste,Experiment: Air,"202,650 Pa",Deals additional damage of type Air based on a percentage of the total damage dealt. Damage of taste modules can not be further amplified.,DAMAGE
atk,Anti-Air Crit,R13: Heaven,1%,Provides a chance to multiply your damage against Air enemies by 4.,CHANCE DAMAGE
atk,Anti-Air Projectiles,R11: Neutral,1%,Increases the damage dealt against Air enemies.,DAMAGE
atk,Anti-Darkness Crit,R12: Dark Realm,1%,Provides a chance to multiply your damage against Darkness enemies by 4.,CHANCE DAMAGE
atk,Anti-Darkness Projectiles,R11: Neutral,1%,Increases the damage dealt against Darkness enemies.,DAMAGE
atk,Anti-Earth Crit,R12: Dark Realm,1%,Provides a chance to multiply your damage against Earth enemies by 4.,CHANCE DAMAGE
atk,Anti-Earth Projectiles,R11: Neutral,1%,Increases the damage dealt against Earth enemies.,DAMAGE
atk,Anti-Electricity Crit,R13: Heaven,1%,Provides a chance to multiply your damage against Electricity enemies by 4.,CHANCE DAMAGE
atk,Anti-Electricity Projectiles,R11: Neutral,1%,Increases the damage dealt against Electricity enemies.,DAMAGE
atk,Anti-Fire Crit,R12: Dark Realm,1%,Provides a chance to multiply your damage against Fire enemies by 4.,CHANCE DAMAGE
atk,Anti-Fire Projectiles,R11: Neutral,1%,Increases the damage dealt against Fire enemies.,DAMAGE
atk,Anti-Light Crit,R13: Heaven,1%,Provides a chance to multiply your damage against Light enemies by 4.,CHANCE DAMAGE
atk,Anti-Light Projectiles,R11: Neutral,1%,Increases the damage dealt against Light enemies.,DAMAGE
atk,Anti-Nature Crit,R13: Heaven,1%,Provides a chance to multiply your damage against Nature enemies by 4.,CHANCE DAMAGE
atk,Anti-Nature Projectiles,R11: Neutral,1%,Increases the damage dealt against Nature enemies.,DAMAGE
atk,Anti-Neutral Projectiles,R11: Neutral,1%,Increases the damage dealt against Neutral enemies.,DAMAGE
atk,Anti-Universal Projectiles,R11: Neutral,1%,Increases the damage dealt against Universal enemies.,DAMAGE
atk,Anti-Water Crit,R12: Dark Realm,1%,Provides a chance to multiply your damage against Water enemies by 4.,CHANCE DAMAGE
atk,Anti-Water Projectiles,R11: Neutral,1%,Increases the damage dealt against Water enemies.,DAMAGE
atk,Attack Speed,Base mod,Unlocked from start,Modifies the towers attack speed.,ATTACKSPEED
atk,Bash,R03: Winter,0.12%,Provides a small chance to stun a target for a short duration. Stunned units cannot move or attack.,CHANCE STUN DEBUFF
atk,Basic Attack,Base mod,Unlocked from start,Provides the tower some basic Neutral damage.,DAMAGE
atk,Basic Bouncing,R01: Forest,Wave 10,Provides the projectiles a chance to bounce off to additional targets. Does not bounce off to the same unit twice. The chance is calculated for each target separately so the missile might bounce off fewer times than the limit.,CHANCE AREA
